id,origin,created_at,updated_at,area,charter,test_data,scale,actions,expected,actual,status,severity,defect_id,fix,regression,evidence,notes
UAT-001,initial,2026-08-16T14:00:00+09:00,2026-08-16T14:00:00+09:00,起動・初期表示,production buildを実ブラウザで開き、PRの意図・commit・changed filesがレビュー開始に十分な形で見えるか探索する,fixture PR / 1 commitから同期後2 commitsへ変化,small,初回表示 / 自動同期 / タイトル・本文・commit badge・file treeを横断,キャッシュ表示を保ったまま最新状態へ更新され、レビューの起点が明確,初回1 commit表示から自動同期後2 commits・3 changed files・5 walkthroughsへ更新。console error/warnなし,passed,,,,,browser DOM + 1280x720 screenshot,基準commit 30b22d1 / production build
UAT-002,initial,2026-08-16T14:00:00+09:00,2026-08-16T15:47:00+09:00,commit範囲,1件・連続範囲・PR全体・最新だけを往復し、選択境界と表示内容が利用者の理解と一致するか探索する,2 commits / added・modified・deleted files,small,picker click / shortcut / drag / Shift操作 / diff対象の変化を観察,選択は常に連続し、old/new境界・badge・changed filesが矛盾しない,PR全体↔最新だけでbadgeと3件↔2件が整合。単一commit・Shift連続範囲を実ブラウザで確認し、Chromium mouse dragも全E2Eで通過,passed,,,,,browser DOM + review-flow E2E,in-app browserの一括drag入力はclick相当だったため、実pointer dragはPlaywright mouseで補完
UAT-003,initial,2026-08-16T14:00:00+09:00,2026-08-16T15:47:00+09:00,文書閲覧,changed/all filesと全文/変更を行き来し、diff外・追加・削除・binary・large fileの扱いを探索する,Markdown / TypeScript / binary / 1MiB超 / missing,mixed,tree切替 / tab再利用 / stacked・split / unavailable statesを確認,比較条件を保持し、各文書状態を誤解なく明示する,全ファイル50件を表示。binary・1 MiB超・deleted・missingを明示し、本文不可でもfile comment可。比較範囲変更後も表示整合,passed,,,,,browser DOM + full E2E,binaryのline comment不可・file comment可も回帰確認
UAT-004,initial,2026-08-16T14:00:00+09:00,2026-08-16T14:00:00+09:00,探索・検索,Quick Openと全文検索をキーボード・曖昧入力・case・whole wordで使い、発見から閲覧へ滑らかに移れるか探索する,浅い/深いpath、同名候補、複数match、0件,small→large,Cmd+P / Arrow / Enter / Escape / search option切替 / result jump,候補順・match数・focus・line jumpが一貫し、0件も明確,Quick Open 52候補でcreordのfuzzy順を確認。全文検索は17件/8 files→case 14件→whole word 6件/5 files、0件表示と行jumpも正常,passed,,,,,browser DOM / screenshot / search count,50-file fixtureを操作中に採用
UAT-005,initial,2026-08-16T14:00:00+09:00,2026-08-16T15:47:00+09:00,タブ・2ペイン,複数文書を開閉・移動し、2ペイン・overflow・divider操作でも読む場所を見失わないか探索する,10+ tabs / long paths / walkthrough references,medium,通常click / Cmd+click / menu移動 / drag / close others / resize / narrow viewport,document identityは重複せず、active pane・focus・scrollが予測可能,左右に5 tabsまで開き、overflow selected tabを可視化。重複identityなし、右→左移動、close others、divider keyboard/double-click、720px横scrollを確認,passed,,,,,browser DOM / screenshots / full E2E,900x600・720x600・1280x240を操作中に追加
UAT-006,initial,2026-08-16T14:00:00+09:00,2026-08-16T14:00:00+09:00,コメント,PR・file・line・rangeへコメントし、返信・解決・再オープン・コピー・Outdatedを一連で探索する,短文 / 長文 / 日本語 / 改行 / code-like text / 同一行複数thread,medium,作成 / cancel / reply / resolve / reopen / copy reference / sync後配置を確認,保存・配置・状態・件数が一貫し、入力損失や誤対象がない,src/fixture.ts L5へ日本語・改行・code-like textを作成、返信、rvw://参照copy、解決、解決済み表示、再openまで一貫,passed,,,,,browser DOM / clipboard rvw://comment UUID,fixture server再起動でテストコメントは破棄
UAT-007,initial,2026-08-16T14:00:00+09:00,2026-08-16T14:00:00+09:00,Markdown・安全性,Preview/Source、相対link・画像・見出し・table・unsafe HTMLを操作し、読解性と安全性を探索する,長いtable / local SVG / external image / script tag / relative link,medium,Preview/Source保持 / link click / image placeholder / blocked requestを観察,repository外へ意図せずアクセスせず、unsafe contentは実行されない,README Preview、見出しhash、同一commit相対Markdown、local SVGを確認。script未実行、external image DOM requestなしでplaceholder表示,passed,,,,,browser DOM / screenshot / window flag=false,
UAT-008,initial,2026-08-16T14:00:00+09:00,2026-08-16T15:47:00+09:00,Walkthrough,説明・code reference・diagram node・更新・削除を、人間が任意順で検証できるか探索する,複数diagram種 / file-level・line-range refs / stale ref,medium,reference open / Cmd+click / comment / poll update / delete confirmを横断,commit固定の説明とsourceを往復でき、説明tabやコメント状態を失わない,通常/Cmd参照を左右paneへ開きline rangeを選択、Mermaid node→sourceを往復。poll更新がopen tabへ反映され、local delete後5→4件を確認,passed,,,,,browser DOM + full E2E,fixture再起動で5件へ復元。実データ変更なし
UAT-009,initial,2026-08-16T14:00:00+09:00,2026-08-16T15:47:00+09:00,障害復旧・同期,offline・server loss・同期中更新・不正IDでもキャッシュ閲覧と復旧案内が機能するか探索する,network abort / malformed UUID / unknown PR / rewritten PR body,mixed,refresh失敗 / URL改変 / reload / sync連打 / cache保持を確認,閲覧済み内容を保ち、明示的なerrorと復旧手順を示す,malformed/unknown IDを明示。server停止中の同期はLOCAL_SERVER_UNAVAILABLEと復旧案内を出し既存レビューを保持。再起動後の再同期成功と5 walkthrough復元を確認,passed,,,,,browser DOM + server stop/restart + full E2E,beforeunload guardも有効
UAT-010,initial,2026-08-16T14:00:00+09:00,2026-08-16T15:47:00+09:00,公開前品質,テーマ・focus・狭いviewport・CLI doctor・package installを横断し、npm公開候補として致命的な欠落がないか探索する,light/dark/system / 1280x240 / local tarball offline install,release,browser keyboard pass / responsive pass / check・test・e2e・build・package smoke,操作可能性と配布物の再現性が確認でき、release blockerが0件,"light/dark/systemと狭いviewport通過。check/build、unit 170件、E2E 59件、package smoke 440 files・3,737,052 bytes packed・18,699,896 bytes unpackedが成功",passed,,,,,pnpm check/test/test:e2e/build/test:package,npm publishは実行しない
